iter	Passed	Remaining
0	1	1642
1	2	1492
2	4	1458
3	5	1457
4	7	1446
5	8	1401
6	9	1400
7	11	1401
8	12	1408
9	14	1397
10	15	1391
11	16	1387
12	18	1391
13	19	1379
14	20	1371
15	22	1369
16	24	1391
17	25	1402
18	26	1377
19	28	1375
20	29	1367
21	30	1362
22	32	1360
23	33	1356
24	34	1351
25	35	1345
26	37	1345
27	38	1320
28	39	1324
29	41	1326
30	42	1324
31	43	1325
32	45	1320
33	46	1315
34	47	1312
35	48	1294
36	49	1290
37	50	1288
38	52	1286
39	53	1286
40	55	1303
41	56	1291
42	57	1290
43	59	1288
44	60	1277
45	61	1274
46	62	1273
47	64	1275
48	65	1275
49	67	1275
50	68	1275
51	70	1277
52	72	1294
53	73	1293
54	75	1288
55	76	1285
56	77	1281
57	78	1278
58	79	1275
59	81	1273
60	82	1270
61	83	1267
62	85	1264
63	86	1262
64	88	1266
65	89	1264
66	90	1263
67	91	1260
68	93	1258
69	94	1252
70	95	1249
71	96	1246
72	97	1238
73	98	1235
74	100	1233
75	101	1231
76	102	1229
77	103	1229
78	105	1228
79	106	1225
80	107	1222
81	108	1218
82	109	1211
83	110	1209
84	112	1207
85	113	1204
86	114	1202
87	115	1200
88	116	1197
89	118	1195
90	119	1196
91	121	1195
92	122	1193
93	123	1192
94	124	1190
95	126	1188
96	127	1186
97	128	1184
98	129	1181
99	131	1179
100	132	1178
101	133	1176
102	134	1174
103	135	1170
104	137	1169
105	138	1168
106	139	1166
107	141	1164
108	142	1162
109	143	1160
110	144	1158
111	145	1154
112	146	1152
113	148	1151
114	149	1149
115	150	1147
116	152	1147
117	152	1142
118	153	1139
119	155	1137
120	156	1136
121	157	1134
122	158	1133
123	160	1131
124	161	1127
125	162	1126
126	163	1125
127	164	1123
128	166	1121
129	167	1121
130	169	1121
131	170	1119
132	171	1118
133	172	1116
134	173	1114
135	175	1113
136	176	1111
137	177	1109
138	178	1106
139	179	1104
140	181	1102
141	182	1101
142	183	1101
143	185	1100
144	186	1098
145	187	1097
146	188	1095
147	190	1094
148	191	1092
149	192	1090
150	193	1089
151	195	1087
152	196	1086
153	197	1085
154	198	1084
155	200	1083
156	201	1082
157	202	1080
158	204	1079
159	205	1077
160	206	1076
161	207	1074
162	208	1073
163	210	1071
164	211	1070
165	212	1066
166	213	1066
167	215	1067
168	216	1066
169	218	1065
170	219	1064
171	220	1062
172	221	1060
173	223	1059
174	224	1057
175	225	1056
176	226	1054
177	228	1053
178	229	1051
179	230	1051
180	232	1052
181	233	1050
182	234	1047
183	235	1045
184	237	1044
185	238	1042
186	239	1041
187	240	1039
188	241	1038
189	243	1036
190	244	1035
191	245	1034
192	247	1033
193	248	1032
194	249	1030
195	250	1029
196	252	1027
197	253	1026
198	254	1025
199	255	1023
200	257	1022
201	258	1020
202	259	1019
203	260	1017
204	262	1016
205	263	1015
206	264	1014
207	265	1011
208	266	1009
209	267	1007
210	269	1006
211	270	1004
212	271	1003
213	272	1001
214	274	1000
215	275	999
216	276	997
217	277	996
218	279	995
219	280	994
220	281	993
221	282	990
222	283	989
223	285	987
224	286	986
225	287	985
226	288	983
227	290	982
228	291	980
229	292	979
230	293	978
231	295	977
232	296	975
233	297	974
234	298	973
235	300	971
236	301	970
237	302	968
238	303	967
239	305	966
240	306	964
241	307	963
242	308	961
243	310	960
244	311	960
245	312	959
246	314	957
247	315	956
248	316	955
249	318	954
250	319	953
251	320	952
252	321	950
253	323	948
254	324	947
255	325	944
256	326	943
257	327	942
258	329	941
259	330	940
260	331	938
261	332	937
262	334	936
263	334	933
264	336	932
265	337	931
266	338	929
267	339	928
268	341	926
269	342	926
270	344	925
271	345	924
272	346	923
273	347	921
274	349	920
275	350	919
276	351	917
277	352	916
278	353	914
279	355	913
280	356	911
281	357	910
282	359	910
283	360	908
284	361	907
285	362	906
286	364	904
287	365	904
288	367	903
289	368	902
290	369	900
291	370	898
292	372	898
293	373	897
294	376	899
295	377	898
296	379	897
297	380	896
298	381	895
299	383	893
300	384	892
301	385	891
302	387	890
303	388	889
304	390	890
305	392	889
306	393	887
307	394	886
308	396	885
309	397	884
310	398	883
311	400	883
312	401	882
313	403	881
314	405	880
315	407	881
316	408	880
317	410	879
318	411	878
319	412	877
320	414	876
321	415	874
322	416	873
323	418	872
324	419	871
325	420	870
326	422	870
327	424	869
328	425	868
329	427	867
330	428	866
331	429	864
332	431	863
333	432	862
334	433	860
335	434	858
336	435	857
337	437	856
338	438	855
339	440	855
340	442	854
341	443	853
342	444	852
343	446	850
344	447	849
345	449	848
346	450	847
347	451	846
348	453	845
349	454	844
350	456	843
351	457	843
352	459	841
353	460	840
354	461	839
355	463	838
356	464	836
357	465	835
358	467	834
359	468	833
360	470	832
361	471	831
362	473	830
363	474	829
364	475	828
365	477	827
366	478	825
367	480	824
368	481	823
369	482	822
370	484	820
371	485	820
372	487	819
373	489	818
374	490	817
375	492	816
376	493	815
377	494	814
378	496	812
379	497	811
380	498	810
381	499	808
382	501	808
383	503	807
384	504	805
385	505	804
386	507	803
387	508	802
388	509	800
389	511	799
390	512	798
391	513	796
392	515	795
393	516	794
394	518	793
395	519	793
396	521	792
397	523	791
398	524	789
399	525	788
400	526	787
401	528	785
402	529	783
403	530	782
404	531	781
405	533	780
406	534	779
407	536	777
408	537	776
409	538	775
410	539	773
411	541	772
412	542	770
413	543	769
414	544	768
415	546	766
416	547	765
417	549	764
418	550	763
419	551	762
420	553	761
421	554	759
422	555	758
423	557	756
424	558	755
425	559	754
426	560	752
427	562	751
428	563	749
429	564	748
430	566	747
431	567	746
432	568	744
433	570	743
434	571	742
435	572	740
436	573	739
437	575	737
438	576	736
439	577	735
440	578	733
441	580	732
442	581	731
443	583	730
444	584	728
445	585	727
446	586	726
447	588	724
448	589	723
449	590	722
450	592	720
451	593	719
452	594	717
453	595	716
454	597	715
455	598	714
456	600	713
457	601	711
458	602	710
459	604	709
460	605	707
461	606	706
462	607	705
463	609	703
464	610	702
465	611	700
466	613	699
467	614	698
468	615	697
469	617	696
470	618	694
471	619	693
472	621	691
473	622	690
474	623	689
475	625	688
476	626	686
477	627	685
478	629	684
479	631	683
480	632	682
481	633	681
482	635	679
483	636	678
484	637	677
485	639	675
486	640	674
487	641	673
488	643	672
489	645	671
490	646	670
491	648	669
